"LOGIN_ADM: AdMiN, (12/12/2025, 18:59:01, admin)"
"ENVIO_NOTIFICACAO: AdMiN, (12/12/2025, 18:59:44, admin)"
"ENVIO_NOTIFICACAO: NORMAL, (12/12/2025, 18:59:44, admin)"
"LEITURA_NOTIFICAO: AdMiN, (12/12/2025, 18:59:50, admin)"
"CADASTRO_USUARIO_POR_ADMINISTRADOR: teste100, (12/12/2025, 19:00:06, admin)"
"EDICAO_TIPO_FEITO_POR_ADMINISTRADOR_USUARIO_COMUM -> ADM: teste100, (12/12/2025, 19:00:12, admin)"
"EDICAO_TIPO_FEITO_POR_ADMINISTRADOR_ADM -> USUARIO_COMUM: teste100, (12/12/2025, 19:00:19, admin)"
"AUTO_CADASTRO_USUARIO: usuarioAUTO, (12/12/2025, 19:01:33, usuarioauto)"
"Ocorreu a falha "Falha no Login" ao realizar a operação LOGIN_USUARIO para o usuário admin, (12/12/2025, 19:01:43, )."
"Ocorreu a falha "Falha no Login" ao realizar a operação LOGIN_USUARIO para o usuário admin, (12/12/2025, 19:01:44, )."
"Ocorreu a falha "Falha no Login" ao realizar a operação LOGIN_USUARIO para o usuário admin, (12/12/2025, 19:01:44, )."
"LOGIN_ADM: AdMiN, (12/12/2025, 19:01:48, admin)"
"CADASTRO_USUARIO_AUTORIZADO: usuarioAUTO, (12/12/2025, 19:01:53, admin)"
"Ocorreu a falha "Senha invalida" ao realizar a operação ALTERACAO_SENHA para o usuário AdMiN, (12/12/2025, 19:02:14, admin)."
"Ocorreu a falha "Senha invalida" ao realizar a operação ALTERACAO_SENHA para o usuário AdMiN, (12/12/2025, 19:02:38, admin)."
"Ocorreu a falha "Senha invalida" ao realizar a operação ALTERACAO_SENHA para o usuário AdMiN, (12/12/2025, 19:02:48, admin)."
"Ocorreu a falha "Senha invalida" ao realizar a operação ALTERACAO_SENHA para o usuário AdMiN, (12/12/2025, 19:03:00, admin)."
"Ocorreu a falha "Senha invalida" ao realizar a operação ALTERACAO_SENHA para o usuário AdMiN, (12/12/2025, 19:03:03, admin)."
"ALTERACAO_SENHA: AdMiN, (12/12/2025, 19:03:26, admin)"
"LOGIN_USUARIO: usuarioAUTO, (12/12/2025, 19:04:11, usuarioauto)"
"LOGIN_USUARIO: teste100, (12/12/2025, 19:04:31, teste100)"
"LOGIN_USUARIO: NORMAL, (12/12/2025, 19:04:59, normal)"
"LEITURA_NOTIFICAO: NORMAL, (12/12/2025, 19:05:01, normal)"
"Ocorreu a falha "Falha no Login" ao realizar a operaÃ§Ã£o LOGIN_USUARIO para o usuÃ¡rio admin01, (13/12/2025, 19:36:01, )."
"Ocorreu a falha "Falha no Login" ao realizar a operaÃ§Ã£o LOGIN_USUARIO para o usuÃ¡rio admin01, (13/12/2025, 19:36:04, )."
"Ocorreu a falha "Falha no Login" ao realizar a operaÃ§Ã£o LOGIN_USUARIO para o usuÃ¡rio admin01, (13/12/2025, 19:36:04, )."
"Ocorreu a falha "Falha no Login" ao realizar a operaÃ§Ã£o LOGIN_USUARIO para o usuÃ¡rio admin01, (13/12/2025, 19:36:05, )."
"LOGIN_ADM: AdMiN, (13/12/2025, 19:36:57, admin)"
"ALTERACAO_SENHA: AdMiN, (13/12/2025, 19:37:34, admin)"
"CADASTRO_USUARIO_POR_ADMINISTRADOR: Admin Sec, (13/12/2025, 19:37:50, admin)"
"LOGIN_ADM: Admin Sec, (13/12/2025, 19:38:02, adminsec)"
"EDICAO_TIPO_FEITO_POR_ADMINISTRADOR_USUARIO_COMUM -> ADM: usuarioAUTO, (13/12/2025, 19:38:18, adminsec)"
"LOGIN_ADM: Admin Sec, (13/12/2025, 19:40:32, adminsec)"
"LOGIN_ADM: Admin Sec, (13/12/2025, 19:43:20, adminsec)"
"Ocorreu a falha "Falha no Login" ao realizar a operaÃ§Ã£o LOGIN_USUARIO para o usuÃ¡rio admin01, (13/12/2025, 20:00:54, )."
"Ocorreu a falha "Falha no Login" ao realizar a operaÃ§Ã£o LOGIN_USUARIO para o usuÃ¡rio admin01, (13/12/2025, 20:00:54, )."
"LOGIN_ADM: Admin Sec, (13/12/2025, 20:00:58, adminsec)"
"LOGIN_ADM: Admin Sec, (13/12/2025, 20:01:40, adminsec)"
"ENVIO_NOTIFICACAO: AdMiN, (13/12/2025, 20:02:08, adminsec)"
"ENVIO_NOTIFICACAO: NORMAL, (13/12/2025, 20:02:08, adminsec)"
"ENVIO_NOTIFICACAO: teste100, (13/12/2025, 20:02:08, adminsec)"
"ENVIO_NOTIFICACAO: usuarioAUTO, (13/12/2025, 20:02:08, adminsec)"
"ENVIO_NOTIFICACAO: Admin Sec, (13/12/2025, 20:02:08, adminsec)"
"LOGIN_ADM: Admin Sec, (13/12/2025, 20:02:40, adminsec)"
"LOGIN_ADM: Admin Sec, (13/12/2025, 20:03:27, adminsec)"
"LOGIN_ADM: Admin Sec, (13/12/2025, 20:05:00, adminsec)"
"LEITURA_NOTIFICAO: Admin Sec, (13/12/2025, 20:05:04, adminsec)"
